"YEAR","MONTH_NUM","FLT_DATE","FLT_ERT_1"
"2012",5,2012-05-17,26225
"2012",5,2012-05-18,27004
"2012",5,2012-05-19,23909
"2012",5,2012-05-20,26794
"2012",5,2012-05-21,29402
"2012",5,2012-05-22,28591
"2012",5,2012-05-23,29391
"2012",5,2012-05-24,29954
"2012",5,2012-05-25,30959
"2012",5,2012-05-26,24654
"2012",5,2012-05-27,24978
"2012",5,2012-05-28,27882
"2012",5,2012-05-29,29061
"2012",5,2012-05-30,29718
"2012",5,2012-05-31,30381
"2012",6,2012-06-01,31771
"2012",6,2012-06-02,25603
"2012",6,2012-06-03,26913
"2012",6,2012-06-04,29402
"2012",6,2012-06-05,29153
"2012",6,2012-06-06,29708
"2012",6,2012-06-07,29723
"2012",6,2012-06-08,30668
"2012",6,2012-06-09,26158
"2012",6,2012-06-10,28054
"2012",6,2012-06-11,30883
"2012",6,2012-06-12,30299
"2012",6,2012-06-13,30963
"2012",6,2012-06-14,31683
"2012",6,2012-06-15,32395
"2012",6,2012-06-16,26437
"2012",6,2012-06-17,28236
"2012",6,2012-06-18,31118
"2012",6,2012-06-19,30604
"2012",6,2012-06-20,30944
"2012",6,2012-06-21,31410
"2012",6,2012-06-22,31776
"2012",6,2012-06-23,26613
"2012",6,2012-06-24,28205
"2012",6,2012-06-25,31212
"2012",6,2012-06-26,30545
"2012",6,2012-06-27,31351
"2012",6,2012-06-28,31776
"2012",6,2012-06-29,32530
"2012",6,2012-06-30,27363
"2012",7,2012-07-01,28750
"2012",7,2012-07-02,31374
"2012",7,2012-07-03,30464
"2012",7,2012-07-04,30869
"2012",7,2012-07-05,31380
"2012",7,2012-07-06,31746
"2012",7,2012-07-07,27454
"2012",7,2012-07-08,28458
"2012",7,2012-07-09,30905
"2012",7,2012-07-10,30311
"2012",7,2012-07-11,30514
"2012",7,2012-07-12,31142
"2012",7,2012-07-13,31681
"2012",7,2012-07-14,27200
"2012",7,2012-07-15,28490
"2012",7,2012-07-16,30617
"2012",7,2012-07-17,30185
"2012",7,2012-07-18,30771
"2012",7,2012-07-19,30968
"2012",7,2012-07-20,31826
"2012",7,2012-07-21,27337
"2012",7,2012-07-22,28318
"2012",7,2012-07-23,30128
"2012",7,2012-07-24,29774
"2012",7,2012-07-25,30079
"2012",7,2012-07-26,30647
"2012",7,2012-07-27,31269
"2012",7,2012-07-28,27435
"2012",7,2012-07-29,28056
"2012",7,2012-07-30,29842
"2012",7,2012-07-31,29312
"2012",8,2012-08-01,29709
"2012",8,2012-08-02,29648
"2012",8,2012-08-03,30798
"2012",8,2012-08-04,27313
"2012",8,2012-08-05,27908
"2012",8,2012-08-06,29260
"2012",8,2012-08-07,28816
"2012",8,2012-08-08,29073
"2012",8,2012-08-09,29488
"2012",8,2012-08-10,30545
"2012",8,2012-08-11,27131
"2012",8,2012-08-12,27944
"2012",8,2012-08-13,29730
"2012",8,2012-08-14,28806
"2012",8,2012-08-15,28351
"2012",8,2012-08-16,29623
"2012",8,2012-08-17,30914
"2012",8,2012-08-18,27430
"2012",8,2012-08-19,28292
"2012",8,2012-08-20,30405
"2012",8,2012-08-21,29771
"2012",8,2012-08-22,30191
"2012",8,2012-08-23,30651
"2012",8,2012-08-24,31591
"2012",8,2012-08-25,27247
"2012",8,2012-08-26,28686
"2012",8,2012-08-27,30796
"2012",8,2012-08-28,30431
"2012",8,2012-08-29,30972
"2012",8,2012-08-30,31366
"2012",8,2012-08-31,31930
"2012",9,2012-09-01,27538
"2012",9,2012-09-02,28928
"2012",9,2012-09-03,31375
"2012",9,2012-09-04,30379
"2012",9,2012-09-05,30961
"2012",9,2012-09-06,31652
"2012",9,2012-09-07,31245
"2012",9,2012-09-08,26672
"2012",9,2012-09-09,28395
"2012",9,2012-09-10,31069
"2012",9,2012-09-11,30236
"2012",9,2012-09-12,30825
"2012",9,2012-09-13,31128
"2012",9,2012-09-14,32106
"2012",9,2012-09-15,26299
"2012",9,2012-09-16,27827
"2012",9,2012-09-17,30464
"2012",9,2012-09-18,30093
"2012",9,2012-09-19,30537
"2012",9,2012-09-20,31196
"2012",9,2012-09-21,31585
"2012",9,2012-09-22,25495
"2012",9,2012-09-23,27170
"2012",9,2012-09-24,29960
"2012",9,2012-09-25,29328
"2012",9,2012-09-26,29741
"2012",9,2012-09-27,30693
"2012",9,2012-09-28,31577
"2012",9,2012-09-29,25201
"2012",9,2012-09-30,27279
"2012",10,2012-10-01,29424
"2012",10,2012-10-02,28671
"2012",10,2012-10-03,28577
"2012",10,2012-10-04,29510
"2012",10,2012-10-05,30188
"2012",10,2012-10-06,23991
"2012",10,2012-10-07,26290
"2012",10,2012-10-08,28819
"2012",10,2012-10-09,28105
"2012",10,2012-10-10,29036
"2012",10,2012-10-11,29614
"2012",10,2012-10-12,29442
"2012",10,2012-10-13,23382
"2012",10,2012-10-14,25643
"2012",10,2012-10-15,28641
"2012",10,2012-10-16,27746
"2012",10,2012-10-17,28527
"2012",10,2012-10-18,29088
"2012",10,2012-10-19,29874
"2012",10,2012-10-20,23394
"2012",10,2012-10-21,25196
"2012",10,2012-10-22,27670
"2012",10,2012-10-23,27337
"2012",10,2012-10-24,28410
"2012",10,2012-10-25,28699
"2012",10,2012-10-26,28945
"2012",10,2012-10-27,22557
"2012",10,2012-10-28,23566
"2012",10,2012-10-29,26088
"2012",10,2012-10-30,25071
"2012",10,2012-10-31,26078
"2012",11,2012-11-01,24261
"2012",11,2012-11-02,24902
"2012",11,2012-11-03,20121
"2012",11,2012-11-04,23510
"2012",11,2012-11-05,26112
"2012",11,2012-11-06,24918
"2012",11,2012-11-07,25321
"2012",11,2012-11-08,25570
"2012",11,2012-11-09,26506
"2012",11,2012-11-10,18769
"2012",11,2012-11-11,21675
"2012",11,2012-11-12,25227
"2012",11,2012-11-13,24224
"2012",11,2012-11-14,23721
"2012",11,2012-11-15,25177
"2012",11,2012-11-16,26124
"2012",11,2012-11-17,18447
"2012",11,2012-11-18,21430
"2012",11,2012-11-19,24699
"2012",11,2012-11-20,23827
"2012",11,2012-11-21,24624
"2012",11,2012-11-22,24841
"2012",11,2012-11-23,25627
"2012",11,2012-11-24,17847
"2012",11,2012-11-25,21230
"2012",11,2012-11-26,24920
"2012",11,2012-11-27,23765
"2012",11,2012-11-28,24215
"2012",11,2012-11-29,24912
"2012",11,2012-11-30,25783
"2012",12,2012-12-01,18040
"2012",12,2012-12-02,20825
"2012",12,2012-12-03,24214
"2012",12,2012-12-04,23228
"2012",12,2012-12-05,23756
"2012",12,2012-12-06,24676
"2012",12,2012-12-07,23611
"2012",12,2012-12-08,17853
"2012",12,2012-12-09,20547
"2012",12,2012-12-10,24306
"2012",12,2012-12-11,23415
"2012",12,2012-12-12,24261
"2012",12,2012-12-13,24788
"2012",12,2012-12-14,25299
"2012",12,2012-12-15,18470
"2012",12,2012-12-16,20887
"2012",12,2012-12-17,24179
"2012",12,2012-12-18,23580
"2012",12,2012-12-19,24747
"2012",12,2012-12-20,25186
"2012",12,2012-12-21,25748
"2012",12,2012-12-22,20240
"2012",12,2012-12-23,20827
"2012",12,2012-12-24,15415
"2012",12,2012-12-25,9962
"2012",12,2012-12-26,17821
"2012",12,2012-12-27,21135
"2012",12,2012-12-28,22075
"2012",12,2012-12-29,19211
"2012",12,2012-12-30,19810
"2012",12,2012-12-31,14662
"2013",1,2013-01-01,15103
"2013",1,2013-01-02,21954
"2013",1,2013-01-03,21999
"2013",1,2013-01-04,22909
"2013",1,2013-01-05,19233
"2013",1,2013-01-06,21406
"2013",1,2013-01-07,23169
"2013",1,2013-01-08,22064
"2013",1,2013-01-09,22751
"2013",1,2013-01-10,23119
"2013",1,2013-01-11,23921
"2013",1,2013-01-12,18319
"2013",1,2013-01-13,20349
"2013",1,2013-01-14,22964
"2013",1,2013-01-15,21756
"2013",1,2013-01-16,22444
"2013",1,2013-01-17,22648
"2013",1,2013-01-18,22545
"2013",1,2013-01-19,17504
"2013",1,2013-01-20,18189
"2013",1,2013-01-21,21459
"2013",1,2013-01-22,22046
"2013",1,2013-01-23,22862
"2013",1,2013-01-24,23346
"2013",1,2013-01-25,24498
"2013",1,2013-01-26,18180
"2013",1,2013-01-27,20374
"2013",1,2013-01-28,23471
"2013",1,2013-01-29,22326
"2013",1,2013-01-30,22873
"2013",1,2013-01-31,23667
"2013",2,2013-02-01,24545
"2013",2,2013-02-02,17980
"2013",2,2013-02-03,20620
"2013",2,2013-02-04,23409
"2013",2,2013-02-05,22317
"2013",2,2013-02-06,22988
"2013",2,2013-02-07,23898
"2013",2,2013-02-08,24637
"2013",2,2013-02-09,18666
"2013",2,2013-02-10,20616
"2013",2,2013-02-11,22945
"2013",2,2013-02-12,22379
"2013",2,2013-02-13,23380
"2013",2,2013-02-14,23591
"2013",2,2013-02-15,24732
"2013",2,2013-02-16,19228
"2013",2,2013-02-17,21316
"2013",2,2013-02-18,23786
"2013",2,2013-02-19,22471
"2013",2,2013-02-20,23692
"2013",2,2013-02-21,24042
"2013",2,2013-02-22,24888
"2013",2,2013-02-23,19135
"2013",2,2013-02-24,21289
"2013",2,2013-02-25,23976
"2013",2,2013-02-26,23322
"2013",2,2013-02-27,24155
"2013",2,2013-02-28,24957
"2013",3,2013-03-01,25793
"2013",3,2013-03-02,19625
"2013",3,2013-03-03,21827
"2013",3,2013-03-04,24546
"2013",3,2013-03-05,23604
"2013",3,2013-03-06,24424
"2013",3,2013-03-07,25010
"2013",3,2013-03-08,25337
"2013",3,2013-03-09,19381
"2013",3,2013-03-10,21967
"2013",3,2013-03-11,24333
"2013",3,2013-03-12,21956
"2013",3,2013-03-13,24243
"2013",3,2013-03-14,25698
"2013",3,2013-03-15,26156
"2013",3,2013-03-16,20005
"2013",3,2013-03-17,21963
"2013",3,2013-03-18,25058
